"text","staff","amenities","food/drinks","cleanliness","location"
"Stay at the hotel was excellent  Staff were very good and very friendly.",1,0,0,0,0
"Breakfast was good and could not ask for better",0,0,1,0,0
"Very clean and smart hotel.",0,0,0,1,0
"Staff very friendly and helpful.",1,0,0,0,0
"Very good breakfast.",0,0,1,0,0
"We were very happy with our stay.All The staff very helpful Place kept scrupulously cleanthe breakfast was first classwould highly recommend to anyone",1,0,1,0,0
"Staff were friendly and helpful.",1,0,0,0,0
"The room was clean and pleasant.",0,0,0,1,0
"We did not use any other facilities as the purpose of the stay was not to have to drive home after a celebration meal at the Restaurant Herradura.",0,0,0,0,0
"The hotel is basic but clean.",0,0,0,1,0
"Basic breakfast but sufficient.",0,0,1,0,0
"The ensuite was good nicely done and clean.",0,0,0,1,0
"We Often use La torre as our Base to get around we enjoyed our stay all staff helpfull and friendly",1,0,0,0,0
"The room was not cleaned at all.",0,0,0,0,0
"Parking was so hard because of workers parking the same area we are at.",0,0,0,0,0
"Staff was great very helpful.",1,0,0,0,0
"Room was clean and quiet!",0,0,0,1,0
"A great value for this resort area.",0,0,0,0,1
"Very near restaurants  stores.",0,0,0,0,1
"Friendly helpful staff.",1,0,0,0,0
"Found room and bedding to be clean.",0,0,0,0,0
"Front desk staff very friendly and helpful.",1,0,0,0,0
"The bathroom was not very clean.",0,0,0,0,0
"Location has not been updated--old carpeting and bedspread 19' CRT TV.",0,0,0,0,0
"Previous occupant’s food left in the frig.",0,0,0,0,0
"The only thing good about this place was its location.",0,0,0,0,0
"Otherwise every single aspect of this building inside and out was dirty.",0,0,0,0,0
"Carpet inside the room was dirty microwave was dirty bathroom tub was dirty.",0,0,0,0,0
"There was some overnight road construction that night and we had the corner room near the construction...but the curtains were good enough to keep the additional lighting out.",0,0,0,0,1
"Room smelled.",0,0,0,0,0
"Sheets were not clean and unchanged when we arrived.",0,0,0,0,0
"Untidy and bad odor of carpet..bath towel is tiny and smells bad..uncomfortable tv screen",0,0,0,0,0
"It was a quit stay and the staff was great.",1,0,0,0,0
"Hated the location.",0,0,0,0,0
"Room was tiny toiletries only available on request no breakfast 'nonsmoking' but smelled of smoke and had an ashtray in the room.",0,0,0,0,0
"I think this motel is giving most of us what we are looking for a nice clean affordable room to sleep in and we do not care about fancy wallpaper.",0,0,0,0,0
"Clean room quick check in staff always polite and efficient.",1,0,0,1,0
"Because of the price and being dog friendly we have stayed there several times this year.",1,0,0,0,0
"Great centeral location when we see concerts or have family events in Tahoe!",0,0,0,0,1
"Very good service great breakfast close to beach and directly connected to the Ostsee Therme in case of bad weather.",1,0,1,0,0
"Walking distance to Scharbeutz and Timmendorfer Strand downtown areas for dinner and shopping - perfect place",0,0,1,0,1
"Older facility but clean.",0,0,0,1,0
"Owner and staff very friendly.",1,0,0,0,0
"Was one of the most cleanest places we have ever stayed at.",0,0,0,1,0
"Staff was friendly and nice!",1,0,0,0,0
"convienient location price was right staff was pleasant",1,0,0,0,1
"Everything was clean and everyone was friendly and helpful Would  stay there again",1,0,0,1,0
"Nice place clean great rates friendly!",1,0,0,1,0
"Dated but clean.",0,0,0,0,0
"Staff worked immediately to fix it.",1,0,0,0,0
"We found the  Mahoning Inn to be convenient very clean and comfortable with a friendly staff and great view of the mountain!",1,0,0,1,0
"I had a clean room and the customer service is great!",1,0,0,1,0
"Very close to shopping and food.",0,0,1,0,0
"It must be something the cleaning staff uses because it was very powerful each day we returned to our room.",1,0,0,1,0
"Otherwise the room was clean and comfortable.",0,0,0,1,0
"It was clean comfortable with friendly staff.",1,0,0,1,0
"The best things about Eastover are the location the mansion and the beautiful property.",0,0,0,0,1
"The breakfast left much to be desired.",0,0,0,0,0
"Peaceful and friendly and the staff is terrific.",1,0,0,0,0
"incompetent staff could not fix anything they yes you and do nothing to fix the problems not good service at all wifi did not work the whole trip lied about  breakfast tv channels did not have sound very little hot water",0,0,0,0,0
"Friendly staff although seemed a bit overwhelmed.",1,0,0,0,0
"Best breakfast ever — yummy and ultra healthy.",0,0,1,0,0
"Scenic location and close to Tanglewood downtown Lenox and hiking trails.",0,0,0,0,0
"The breakfast was delicious and healthy.",0,0,1,0,0
"We were off season and the area was fantastic even with some snow.",0,0,0,0,1
"Perfect location!",0,0,0,0,1
"The staff was incredibly welcoming and lovely.",1,0,0,0,0
"Our room was gorgeous and spotless.",0,0,0,1,0
"Absolutely breathtaking grounds combined with very attentive and welcoming staff.",1,0,0,0,0
"one of the nicest hotels right in the center of leon... historic building good breakfast and an easy walk anywhere you need to go.. an excellent value...",0,0,1,0,1
"Rooms were comfortable and clean.",0,0,0,1,0
"Otherwise amazing place and lovely staff.",1,0,0,0,0
"Rooms were clean and beds comfy.",0,0,0,1,0
"Complimentary Breakfast was great and service was awesome.",1,0,1,0,0
"Staff were extremely polite and helpful and the rooms were beautiful clean and had everything we needed and more!",1,0,0,1,0
"Particularly good were: the welcome service throughout the hotel and day the general ambiance in the common areas the complementary happy hour of drinks and snacks and a great location.",1,0,1,0,1
"Breakfast was good and staff were very helpful.",1,0,1,0,0
"I was really disappointed in the pool not because it was small but because it did not look clean.",0,0,0,0,0
"The water looked murky and dirty.",0,0,0,0,0
"Beautiful  clean.",0,0,0,1,0
"Lack of service.",0,0,0,0,0
"Upon arrival to the hotel staff stated they did not have our information from Expedia so they could not honor agreed terms.",0,0,0,0,0
"Not coffee or tea in the room.",0,0,0,0,0
"Breakfast was 'Snacks'.",0,0,0,0,0
"Old property but exceptionally clean and really comfortable bed.",0,0,0,1,0
"Only down was the lack of a coffee machine in the room.",0,0,1,0,0
"The room was very clean but there was a sickly sweet disinfectant smell a cross between a car air freshener and a urinal cake that was overwhelming.",0,0,0,0,0
"Room was spotless.",0,0,0,1,0
"We were in the area for a concert.",0,0,0,0,0
"Place was clean for an older motel.",0,0,0,0,0
"The River Wild production staff stayed here!",0,0,0,0,0
"Check in standard friendly office small ring bell etc.",-1,0,0,0,0
"Understand it is pet friendly but did not smell any! LOL",1,0,0,1,0
"You never know what to expect in small towns with mom and pop like properties.",1,0,0,0,1
"It may be an older facility but the room had been updated and was VERY clean.",0,0,0,1,0
"Staff was friendly.",1,0,0,0,0
"A working ice machine  in room coffee makers would add an excellent touch.",0,0,1,0,0
"Our room was very comfortable and the staff very friendly and willing to help.",1,0,0,0,0
"small motel - they were working on the exterior - nice backyard area for pets to run.",0,0,0,0,0
"Would stay there again when in the area.",0,0,0,0,1
"Greeted nicely by woman at the desk room was clean very dog friendly has a dog run breakfast was sparse so we went to a grocery store instead.",-1,0,-1,-1,0
"Only complaint is having to walk through snow to get to our room.",0,0,0,0,1
"For the elderly that is a safety issue.",0,0,0,0,0
"If you are looking for modern luxury then Sandman is not your motel but if you want clean basic comfort at a good price the Sandman is a good option.",0,0,0,0,0
"Easy check in friendly staff nice small place.",1,0,0,0,0
"The only element we missed was a walking path without steps or steep hills.",0,0,0,0,1
"Incredible service.",1,0,0,0,0
"Staff is great beaches and pools are close and abundant.",1,0,0,0,0
"Everything was great about our stay from staffing to service and amenities.",1,0,0,0,0
"very relaxing beautiful nature amazing golf course friendly  helpful staff at the hotel",1,0,0,0,0
"Additionally the staff were extremely courteous and attempted to anticipate every need.",1,0,0,0,0
"Wonderful staff w 1 exception but manager made up for jerky guy at pool.",1,0,0,0,0
"Was the best hotel staff I have ever met.",1,0,0,0,0
"The hotel was very clean and updated.",0,0,0,1,0
"The staff is exceptional!",1,0,0,0,0
"Fully worth the money paid lots of things to do on the premises nice and friendly staff.",1,0,0,0,0
"Nice hotel close to town good English speaking staff.",1,0,0,0,0
"Clean room.",0,0,0,-1,0
"The staff in the hotel are all friendly and very helpful.",1,0,0,0,0
"The rooms are clean and appropriately furnished including tea making facilities.",0,0,1,1,0
"The self-service breakfast offers a good range of food catering to a variety of tastes.",1,0,1,0,0
"The hotel is situated within walking distance of Lilongwe Mall where there are banking and shopping facilities.",0,0,0,0,1
"I like how central this hotel is to amenities.",0,0,0,0,1
"Breakfast was provided and the omelet station is a hit.",0,0,1,0,1
"Water pressure in the shower was very low and the housekeeping staff woke me up everyday with the carts and talking in the hallway.",0,0,0,0,0
"A good restaurant and business facilities were particularly appreciated as were the staff who were friendly and helpful for the most part.",1,0,0,0,0
"The hotel itself is quite dated but none the less clean and quite.",0,0,0,0,0
"I found the reception team to be a little unfriendly.",-1,0,0,0,0
"The resturant was pleasant service was excellent food average however limited choices and quite expensive.",1,0,1,0,0
"Food was Good staff happy to help fast internet comfortable bed - a brilliant stay.",1,0,1,0,0
"The hotel was clean and friendly but required an upgrade.",1,0,0,1,0
"The buffet breakfast was great!",0,0,1,0,0
"Food not good in terms of varieties and quality",0,0,0,0,0
"Breakfast buffet was ok.",0,0,0,0,0
"Location is good for most things as Miraflores is the most popular place to stay in Lima",0,0,0,0,1
"Great location and staff was helpful.",1,0,0,0,1
"Great hotel-bed what is uper comfortable spacious and clean.",0,0,0,1,0
"The free breakfast was a plus",0,0,1,0,0
"Check in was fantastic Dana at the front desk was incredibly helpful and friendly.",1,0,0,0,0
"Nice place what is uper friendly staff delicious breakfast",1,0,1,0,0
"Great hotel very clean and nice.",0,0,0,1,0
"will definitely be back if in that area",0,0,0,0,1
"love it and breakfast great!",0,0,1,0,0
"We did not stay due to the address being misleading on hotels.com and the manager Kim would not authorize hotels.com to give me a refund.",0,0,0,0,0
"Nice clean and quiet hotel with generous breakfast menu and friendly staff.",1,0,1,1,0
"Would stay again if I traveled trough the area.",0,0,0,0,1
"It’s very clean!",0,0,0,1,0
"Enjoyed the horse show nearby and hotel was very convenient to the horse park and to Starbucks.",0,0,0,0,1
"Comfortable beds clean nice staff.",1,0,0,1,0
"Mexican restaurant walking distance.",0,0,0,0,1
"Room was clean and spacious.",0,0,0,1,0
"Good breakfast included.",0,0,1,0,0
"Could have used brighter lighting in bath and separate switch for fan from lights in bath.",1,0,0,0,1
"Very clean and great in general.",0,0,0,1,0
"Clean  nice hotel for decent price.",0,0,0,1,0
"Staff very friendly.",1,0,0,0,0
"Great location with just a short hop to Tyler.",0,0,0,0,1
"Room was very clean and comfortable.",0,0,0,1,0
"Just wished they had flavored creamer for coffee. : ",0,0,0,0,0
"this is a family hotel close to Liftowski Mikolosh good location for trips around.",0,0,0,0,1
"Hotel Facility is so so rooms are OKwhile service and cleaningness are so-so  food is not great as well... so value is less the average.",1,0,1,0,0
"The staff were very kind and responsive to our needs.",1,0,0,0,0
"the location is the best ever  everything are nearby  i like it  need little improvement ..",0,0,0,0,1
"Floor was dirty and there was hair in the beds.",0,0,0,0,0
"Great location.",0,0,0,0,1
"30 second walk from a subway station ... 20 min subway to the airport.",0,0,0,0,1
"Location cleanness and staff A!!!",1,0,0,0,1
"Literally at the entrance way of Rossi metro subway station.",0,0,0,0,1
"Amazing location central.",0,0,0,0,1
"Basic rooms with towels and soap only but clean.",0,0,0,0,0
"Friendly staff.",1,0,0,0,0
"Breakfast was coffee juice yogurt Apple and bread x 3 and a whole package of ham :",0,0,1,0,0
"For the area it is a nice basic place to stay.",0,0,0,0,-1
"Hotel staff is very very nice.",1,0,0,0,0
"I did not like the cigarette butts on the ground at the two benches outside the main entrance.",0,0,0,0,0
"2nd time staying thee staff were pleasant and accommodating!",1,0,0,0,0
"Room was clean.",0,0,0,1,0
"Did not take advantage of continental breakfast.",0,0,-1,0,0
"Staff was friendly and room was clean.",1,0,0,1,0
"The bathroom was clean.",0,0,0,1,0
"The breakfast is not bad if you just want something quick.",0,0,1,0,0
"We would stay here again when in the area.",0,0,0,0,1
"Danish and bagels were frozen not fresh.",0,0,0,0,0
"Caoffe and milk no juice.",0,0,0,0,0
"Had to shower for a funeral in a tub that was filling with water because it too them over an hour to come after I callers as only one person was on staff.",0,0,0,0,0
"Breakfast is a little lacking",0,0,-1,0,0
"Nice staff comfy room easy check in/out.",1,0,0,0,0
"Complimentary breakfast was very good.",0,0,1,0,0
"The owner checked us in and also cleaned the rooms.",0,0,0,0,0
"Breakfast was cereal juice coffee cinnamon buns and a small assortment of muffins and bagels.",0,0,1,0,0
"The folks who run the hotel are friendly and easy to work with.",1,0,0,0,0
"It is located close to restaurants the downtown shops and easy access to the main highways.",1,0,1,0,1
"It was clean spacious contained a small refrigerator desk easy parking and access from front or back of hotel.",0,0,0,1,0
"Clean   Friendly.",1,0,0,1,0
"Convenient location.",0,0,0,0,1
"Dirty walls need paint doors scratched etc etc.",0,0,0,0,0
"The entire hotel looks like it needs to be updated and cleaned from top to bottom.",0,0,0,0,0
"under the ice machine in the common area was moldy and dirty In the room all needed to be wiped down from the ceiling dents to the carpet.",0,0,0,0,0
"Never are we booking here again unless new owners come in..It smelled Horrible the shower was dirty we found hair in there..And the room smelled..The breakfast was a joke a couple of cereal s and bagels with coffee or milk to drink.. Do not stay there unless you like it that way..You get what you pay for in this case.",0,0,0,0,0
"Staff was friendly.",1,0,0,0,0
"Coffee was great.",0,0,1,0,0
"Breakfast meh.",0,0,-1,0,0
"Great location for the events we came to the area for in lititz PA",0,0,0,0,1
"Becoming our favorite place for visits to the area",0,0,0,0,1
"Fantastic Experience Warm and embracing Owner and Hotel Staff They make you feel like you are family Lovely accomoadtions room designs are in good taste great wellness spa  Great breakfasts  Steps from the slopes  shoph rstaurants markets  On the Bus lines too Would highly recommend the hotel",1,0,1,0,0
"Incredible staff.",1,0,0,0,0
"Splendid food and charming and helpful staff.",1,0,1,0,0
"Partic thanks to manager Mark and guide Fabius.",1,0,0,0,0
"Excellent staff and nice hotel but there were two let downs: the quality of the dinner we had at the hotel and the fact that the room does not come with a mosquito net when there are warnings about malaria everywhere.",0,0,0,0,0
"Stayed there as part of the tour and did not use any of the facilities near by.",0,0,0,0,0
"Excellent hotel and service!",1,0,0,0,0
"Excellent hotel and service!",1,0,0,0,0
"The staff is amazing.",1,0,0,0,0
"Food was excellent.",0,0,1,0,0
"We would rate the staff friendly and attentative amongst the best during our three week tour through Africa.",1,0,0,0,0
"It’s a very nice and clean hotel with cheerful staff.",1,0,0,1,0
"Very friendly courteous and helpful staff.",1,0,0,0,0
"There are a lot of mosquitoes in the area Protea hotel had numerous measures in place to make sure that there were as few as possible in our room.",0,0,0,0,0
"The staff was professional and pleasant.",1,0,0,0,0
"Room was clean bed is comfortable.",0,0,0,1,0
"The breakfast was average.",0,0,0,0,0
"The area around is nothing to do if you have no car.",0,0,0,0,0
"Tourist service is fine.",-1,0,0,0,0
"Great service and excellent food_I enjoyed my stay at this hotel and especially liked the landscaping.",1,0,1,0,0
"We received a friendly welcome from the hosts and the breakfast they provided was basic but very adequate.",1,0,1,0,0
"On a fine day breakfast in the  garden is very enjoyable.",0,0,1,0,0
"Villa Le Luci is a beautiful villa on the edge of the town of Castagneto Carducci in Tuscany not far from the coast.",0,0,0,0,1
"The building and views are incredible the breakfast was our best so far of the trip.",0,0,1,0,0
"The staff were great and it is an ideal location the breakfast was what is uperb.",1,0,1,0,1
"Bedrooms cleaned daily with clean bedding and towels changed daily too.",0,0,0,1,0
"Lovely breakfast.",0,0,1,0,0
"The staff can not do enough to make sure your stay is wonderful.",1,0,0,0,0
"Great location.",0,0,0,0,1
"The staff were what is uper helpful.",1,0,0,0,0
"It was ok  but there was a bad smell when we arrived.",0,0,0,0,0
"The staff very helpful and friendly",1,0,0,0,0
"The hotel is a great vaule for the money great service beautiful pools clean roms and the scenery is beautiful.",-1,0,0,-1,0
"they are not nice at all clean room only every 3d day and charge u extra on anything even on a towel u want to change.",0,0,0,0,0
"They serve breakfast and dinner which was helpful.",0,0,1,0,0
"Hotel restaurant is good limited local restaurants due to remote location.",0,0,0,0,-1
"English speaking staff everyone very nice.",1,0,0,0,0
"Location is amazing mountain setting surrounded by tall trees.",0,0,0,0,0
"You can even borrow walking poles from the reception.",1,0,0,0,1
"Location is just right for a thermal hotel.",0,0,0,0,1
"Staff is nice and they all mean well but one person was helping people check in and out while what is upporting other guests in robes coming out of the pool.",0,0,0,0,0
"Very nice comfortable and clean room.",0,0,0,1,0
"Wifi fridge coffee maker.",0,0,1,0,0
"Glasses and wine glasses no plastic cups here!",0,0,0,0,0
"Very clean and comfortable.",0,0,0,1,0
"employees treated us like family.",1,0,0,0,0
"The smell was awful.",0,0,0,0,0
"Not the cleanest.",0,0,0,0,0
"I think it was all of the carpeting needing a cleaning to eliminate the smell.",0,0,0,0,0
"Staff were warm and welcoming.",1,0,0,0,0
"Extremely gracious staff to greet guests at front lobby.",1,0,0,0,0
"It was mostly clean but there was mold/mildew on the shower curtain and the carpet by the bathtub.",0,0,0,0,0
"Room looked and smelled old and tired.",0,0,0,0,0
"The AC unit mounted over the headboard sounded like a freight train making it impossible to sleep.",0,0,0,0,0
"Very picturesque old brick building with a court yard and gazebo taking you back in time to the 50's and an awesome free selection of movies.",1,0,1,0,1
"Rooms are very clean and comfortable.",0,0,0,1,0
"Great location near downtown Lockport.",0,0,0,0,1
"The room was clean.",0,0,0,1,0
"Each time I visit with family this is the location that I stay at and will continue to do so!",0,0,0,0,1
"Amazing service and great facilities.",1,0,0,0,0
"Spacious room family-owned and very clean pool inviting except for thunderstorms!.",0,0,0,1,0
"Pleasant staff.",1,0,0,0,0
"It is been quite awhile since I stayed at a motor lodge and it was really convenient to walk 5 steps from door to vehicle.",0,0,0,0,0
"Lots of shopping and quick eateries nearby.",0,0,0,0,1
"The location is convenient the rooms and pool suit our needs and the staff is helpful.",1,0,0,0,1
"The staff are wonderful the rooms are extremely clean  cleaned every day!",1,0,0,1,0
"The hotel is situated in a very good location very easy to get to where you need to go!",0,0,0,0,1
"We were in the original wing which had very small cramped rooms with a lingering smell of cigarettes.",0,0,0,0,0
"The faucets were difficult to operate and the hot water was scalding.",0,0,0,0,0
"They lost my pre-paid reservation but found it again just as I asked about other hotels in the vicinity.",0,0,0,0,0
"The room was clean however the refrigerator did not work.",0,0,0,0,0
"Also the free breakfast served frozen fruit and chilled muffins.",0,0,1,0,0
"Other than that clean and comfy.",0,0,0,1,0
"Nice size room and bath plenty of towels in room helpful staff.",1,0,0,0,0
"And service was amazing",1,0,0,0,0
"We stayed two nights and enjoyed the area as well.",0,0,0,0,1
"Great location.",0,0,0,0,1
"The staff was really helpful!",1,0,0,0,0
"Especially Hay on the cleaning staff and Nathan at the front desk.",0,0,0,0,0
"The pool and hot tub were very clean and we enjoyed them.",0,0,0,1,0
"property beautiful clean and kept up nicely  The staff was outstanding - Mark the Mgr went out of his way to help us upon checking in.... totally blowed away with the service of the staff  will return again",1,0,0,1,0
"Room was comfortable and clean.",0,0,0,1,0
"The front desk staff was impressive.",1,0,0,0,0
"Rooms elegant and clean.",0,0,0,1,0
"Staff was very friendly and helpful Especially Matthew.",1,0,0,0,0
"The hotel was very clean tidy and new with excellent standard amenities as well as a friendly staff.",1,0,0,1,0
"Very nice clean place with friendly staff.",1,0,0,1,0
"The breakfast was good with more selections than we expected.",0,0,1,0,0
"We would definitely stay here again if in the area.",0,0,0,0,1
"Everyone from the management to the staff were so wonderful.",1,0,0,0,0
"We have never slept better and it was just a wonderful room and great breakfast as well.",0,0,1,0,0
"Very clean and the staff was very nice.",1,0,0,1,0
"She said rooms are not clean yet.",0,0,0,0,0
"Breakfast had no eggs except boiled.",0,0,0,0,0
"Biscuits were doughy.",0,0,0,0,0
"Excellent staff.",1,0,0,0,0
"Neat  clean facility/room.",0,0,0,1,0
"Buffet was excellent scenery great.",0,0,1,0,0
"One of the better options for the area.",0,0,0,0,0
"Room clean.",0,0,0,-1,0
"Breakfast could have been better.",0,0,1,0,0
"From the Staff to the Rooms I personally wouldn’t stay anyplace else.",1,0,0,0,0
"Me and my wife have been here several times the people are always friendly it is a beautiful area and well maintained Lodge.",1,0,0,0,1
"Loved the place and staff.",1,0,0,0,0
"Love the complimentary breakfast",0,0,1,0,0
"Great room and friendly atmosphere.",1,0,0,0,0
"We were pleased and enjoyed a clean comfortable stay.",0,0,0,1,0
"Great friendly staff.",1,0,0,0,0
"The food in the restaurant was far below what I expected.",0,0,0,0,0
"My room as the clean until 5.",0,0,0,0,0
"The parking lot was crowded with construction workers being loud and drinking beer.",0,0,0,0,0
"I spent most of my time in a parking lots t in a fairly nearby strip mall on the phone and conducting business the purpose behind the trip.",0,0,0,0,0
"Staff were friendly and very helpful with suggestions and guidance.",1,0,0,0,0
"We were there just for lunch and I had a fast so I can not comment on the taste of the food.",0,0,1,0,0
"But my colleagues said that the food was good.",0,0,0,0,0
"They had verities of foods and drinks.",0,0,1,0,0
"And everyone was enjoying the lunch so it was worth it.",0,0,1,0,0
"The staff was very friendly but one thing that disappointed me that they did not allowed me play ping-pong because of some timing issues or whatever.",1,0,0,0,0
"Very good hotel for stay and for food.",0,0,1,0,0
"The service is very good and they keep the place very clean and it is pet friendly .",1,0,0,1,0
"Helping staff  good amenities.",1,0,0,0,0
"Helpful staff.",1,0,0,0,0
"Quality food.",0,0,-1,0,0
"Hotel and service is very good.",1,0,0,0,0
"Location is in the market itself.",0,0,0,0,0
"Rooms are nice ambience was good and food was excellent as well.",0,0,1,0,0
"Also there is no extra space to roam in the vicinity and for doing anything else that is why the one star less.",0,0,0,0,0
"But overall if u want location accessibility wise service and good food this place is great.",1,0,1,0,1
"Room service is fast.",1,0,0,0,0
"Staff is good.",0,0,0,0,0
"Location is near to the highway and station.",0,0,0,0,0
"Location was near main market.",0,0,0,0,0
"Swimming area was open to watch even by visitors.",0,0,0,0,0
"Had breakfast would rate 2/5.",0,0,0,0,0
"A good place for a family outing good ambience and friendly reception.",1,0,0,0,0
"Very near from city centre parking space freely available.",0,0,0,0,1
"Food is served well and tasty also.",0,0,1,0,0
"Food quantity not good Behaviour not good",0,0,0,0,0
"7000/ni8 paid  Rooms like 700/night Breakfast bread they do not provide roasted bread no spoon  They are interested in outdoor customer for restaurant  They think that they are giving free breakfast and doing donation for customers  Do teeth and muscle exercise",0,0,0,0,0
"Overall It was ok breakfast was rubbish swimming pool very dirty room was ok",0,0,0,0,0
"Overall resort is good but services to be improved.",1,0,0,0,0
"Water park and location is excellent.",0,0,0,0,1
"Good for water park but hotel condition needs to improve.",0,0,0,0,0
"The restaurant food is very good.",0,0,1,0,0
"Was good location was nice and the water park is an added bonus",0,0,0,0,0
"A very bad experience very rude front deskextra charges and zero customer service.",0,0,0,0,0
"Water park was the best part of the trip reception and staff showed good hospitality amusement arcade staff was uninterested cleanliness of changing rooms toilets wash rooms was an issue",0,0,0,0,0
"It included only breakfast.",0,0,-1,0,0
"It was a good experience staying at Lagoona room was excellent food was okay but the Buffet dinner was not up to the mark was not even value for the money need to check out.",0,0,0,0,0
"The room was very clean and hospitable.",0,0,0,1,0
"The staff were friendly and helpful.",1,0,0,0,0
"Food was very nice..",0,0,1,0,0
"In Breakfast had lot of options.",0,0,-1,0,0
"Breast fast serving was in beautiful location",0,0,0,0,1
"overall experience was good  but a little improvement on service speed will make it better.",1,0,0,0,0
"personal opinion will be to improve on the gaming zone area for kids as well as for adults e.g  snooker etc.",0,0,0,0,1
"otherwise food and other facilites were nice .",0,0,0,0,0
"but still scope of impreovement on menu can be added .",0,0,1,0,0
"swimming pool is dirty and not worth bath.only consolation was the food.overall not worth stay and recommendation.",0,0,0,0,0
"Crockery too old.",0,0,0,0,0
"Wifi only available by the reception desk.",0,0,0,0,0
"The facility was clean and very well kept.",0,0,0,1,0
"We did not use the pool but the water looked pristine and the area clean and well maintained!",0,0,0,1,1
"Good experience you feel safety in this small motel.",0,0,0,0,0
"Room clean and quiet.",0,0,0,1,0
"Could walk to restaurants and cafes.",0,0,0,0,1
"Room was clean and looked recently remodeled.",0,0,0,1,0
"Owners are rude and unhelpful.",0,0,0,0,0
"I told him I needed to use the restroom very badly and he told me to walk to the McDonalds down the street.",0,0,0,0,0
"Room clean and perfectly located Front desk may give you hard time due to computer issue",0,0,0,1,0
"The rooms are a little outdated as compared to the Dow Villas but the staff were very friendly and helpful",1,0,0,0,0
"Clean expensive to to limited rooms in the area.",0,0,0,0,0
"Good choice of places to eat in lone pine all in easy walking distance.",0,0,0,0,1
"Friendly staff.",1,0,0,0,0
"The room was spacious and clean but the furniture and amenities were a little outdated.",0,0,0,1,0
"The pool was small but clean.",0,0,0,1,0
"Great staff!",1,0,0,0,0
"Wish they had breakfast!",0,0,1,0,0
"Beautiful area.",0,0,0,0,1
"Pretty run down but overall clean and quiet.",0,0,0,1,0
"The rooms are clean and comfortable.",0,0,0,1,0
"The hotel is also pet friendly - we even received a treat for our dog at check-in!",1,0,0,0,0
"Friendly service  restaurant on site was really good.",1,0,0,0,0
"Close to the beach although a nice walk away Great place for our events",0,0,0,0,-1
"The Chautauqua Lodge's Staff was friendly and provided excellent service.",1,0,0,0,0
"We had a recently remodeled 3rd floor room very clean with a great view of the grass dunes and ocean.",0,0,0,1,0
"Room smelled like wet dog there was dry rot in the bathroom with linoleum over it where you could feel yourself sinking into the floor and if anyone was walking above you it sounded like a stampede.",0,0,0,0,0
"This hotel fit the bill for the price it was clean but definitely showing it is age.",0,0,0,-1,0
"Excellent facilities and services",1,0,0,0,0
"located within walking distance to a charming downtown with a variety of wonderful restaurants!",0,0,0,0,1
"Walking distance to Downtown Napa.",0,0,0,0,-1
"We loved the location and outdoor patio area.",0,0,0,0,1
"Excellent property excellent service.",1,0,0,0,0
"Every day had to call the front desk or go look for a cleaning person in the hallway to grab a few additional towels.",0,0,0,0,0
"I loved this hotel the staff could not have been nicer or more helpful truly exceptional.",1,0,0,0,0
"The king suite was lovely and had an almost full service kitchen.",1,0,0,0,0
"The cleaning staff could have done a better job floors were not mopped during our stay and our room was missed one day.",0,0,0,0,0
"The pool area is nice but bar service would be appreciated  at the  pool.",1,0,0,0,0
"The staff were helpful and friendly!",1,0,0,0,0
"This hotel is right across from the wine train and a 5-minute walk from the downtown restaurants and tasting rooms.",0,0,1,0,1
"We stayed for July 4 and it was so nice to avoid traffic by walking to the fireworks and to be home within 10 minutes of the fireworks being done.",0,0,0,0,1
"The hotel staff is friendly.",1,0,0,0,0
"The place is clean.",0,0,0,1,0
"The hotel is conveniently located near Oxbow market and a short walk into downtown Napa.",0,0,0,0,0
"The hotel partners with local wineries and the concierge desk will help you book the tastings.",1,0,0,0,0
"Cakebread and Pineridge we received free tastings and saved over 125 by using the concierge desk.",1,0,0,0,0
"Daily wine tastes.",0,0,1,0,0
"Dog friendly.....and close to downtown Napa.",1,0,0,0,0
"Walking distance.",0,0,0,0,1
"Bright clean spacious friendly staff comfortable accommodations!",1,0,0,1,0
"Loved a morning walk for coffee at nearby oxbow market too!",0,0,1,0,1
"Great hotel fantastic staff great location!!",1,0,0,0,1
"great hotel great service the bed was what is uper comfortable short walk to downtown Napa.",1,0,0,0,1
"Great location.",0,0,0,0,1
"Older property that needs some maintenance and upgrades: broken hair dryer dirty walls in need of paint etc.",0,0,0,0,0
"Location was good.",0,0,0,0,0
"The hotel felt more like a motel but that being said location was great staff was wonderful and very accommodating.",1,0,0,0,1
"And rooms very clean.",0,0,0,1,0
"rooms were not clean sinks were dirty",0,0,0,0,0
"Also all four of the coffee creamer was expired and was not able to be used or consumed.",0,0,0,0,0
"Clean and comfortable.",0,0,0,1,0
"Walking distance to Napa town wine tastings and great restaurants.",0,0,1,0,1
"The motel style facility with the parking in the center court makes for a somewhat noisy environment in the second floor you could hear the maintenance person sweeping at a very early hour service vehicles and the usual traffic of the guess.",0,0,0,0,0
"As far as location perfect and the front desk very friendly.",1,0,0,0,1
"The linens were clean crisp and felt great.",0,0,0,1,0
"Issue with comforter if untuckef just slips off you during the night.",0,0,0,0,0
"Nice hotel close to downtown shops dining and drinks.",0,0,1,0,0
"Easily walk to most destinations.",0,0,0,0,1
"Good price and walking distance to most shops in downtown Napa.",0,0,0,0,1
"Convenient location but way overpriced for what we got.",0,0,0,0,0
"I will be disputing this on my credit card.",0,0,0,0,0
